Country Name,Country Code,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,ABW,94992,97017,98737,100031,100832,101220,101353,101453,101669,102053,102577,103187,103795
Afghanistan,AFG,21979923,23064851,24118979,25070798,25893450,26616792,27294031,28004331,28803167,29708599,30696958,31731688,32758020
Angola,AGO,17572649,18203369,18865716,19552542,20262399,20997687,21759420,22549547,23369131,24218565,25096150,25998340,26920466
Albania,ALB,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104
Andorra,AND,70049,73182,76244,78867,80991,82683,83861,84462,84449,83751,82431,80788,79223
Arab World,ARB,296026575,302434519,309162029,316264728,323773264,331653797,339825483,348145094,356508908,364895878,373306993,381702086,390043028
United Arab Emirates,ARE,3507232,3741932,4087931,4579562,5242032,6044067,6894278,7666393,8270684,8672475,8900453,9006263,9070867
Argentina,ARG,37889370,38309379,38728696,39145488,39558890,39970224,40382389,40799407,41223889,41656879,42096739,42539925,42981515
Armenia,ARM,3033897,3017806,3000612,2981259,2958500,2933056,2908220,2888584,2877311,2875581,2881922,2893509,2906220
American Samoa,ASM,58731,59117,59264,59118,58650,57903,57030,56227,55637,55320,55230,55307,55437
Antigua and Barbuda,ATG,86266,87293,88257,89253,90301,91381,92478,93581,94661,95719,96777,97824,98875
Australia,AUS,19651400,19895400,20127400,20394800,20697900,20827600,21249200,21691700,22031750,22340024,22742475,23145901,23504138
Austria,AUT,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479375,8541575
Azerbaijan,AZE,8171950,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079
Burundi,BDI,6741569,6953113,7182451,7423289,7675338,7939573,8212264,8489031,8766930,9043508,9319710,9600186,9891790
Belgium,BEL,10332785,10376133,10421137,10478617,10547958,10625700,10709973,10796493,10895586,11047744,11128246,11182817,11209057
Benin,BEN,7295394,7520555,7750004,7982225,8216896,8454791,8696916,8944706,9199259,9460802,9729160,10004451,10286712
Burkina Faso,BFA,12293100,12654621,13030569,13421930,13829177,14252021,14689726,15141099,15605217,16081904,16571216,17072723,17585977
Bangladesh,BGD,136600667,139019001,141307489,143431101,145368004,147139191,148805814,150454708,152149102,153911916,155727053,157571292,159405279
Bulgaria,BGR,7837161,7775327,7716860,7658972,7601022,7545338,7492561,7444443,7395599,7348328,7305888,7265115,7223938
Bahrain,BHR,735148,778711,829848,889168,958414,1035891,1114590,1185029,1240862,1278269,1300217,1315411,1336397
"Bahamas, The",BHS,309157,315746,322526,329249,335830,342328,348676,354856,360832,366568,372039,377240,382169
Bosnia and Herzegovina,BIH,3775807,3779247,3781287,3781530,3779468,3774000,3763599,3746561,3722084,3688865,3648200,3604999,3566002
Belarus,BLR,9865548,9796749,9730146,9663915,9604924,9560953,9527985,9506765,9490583,9473172,9464495,9465997,9474511
Belize,BLZ,262206,269130,276089,283277,290747,298407,306165,313929,321608,329192,336701,344181,351694
Bermuda,BMU,62912,63325,63740,64154,64523,64888,65273,65636,65124,64564,64798,65001,65139
Bolivia,BOL,8653345,8810420,8967741,9125409,9283334,9441444,9599855,9758748,9918242,10078343,10239004,10400264,10562159
Brazil,BRA,180151021,182482149,184738458,186917361,189012412,191026637,192979029,194895996,196796269,198686688,200560983,202408632,204213133
Barbados,BRB,271478,272258,273091,274009,275039,276150,277319,278470,279569,280601,281585,282509,283385
Brunei Darussalam,BRN,346867,353389,359523,365158,370250,374864,379252,383772,388662,394013,399748,405716,411704
Bhutan,BTN,606399,623434,640282,656639,672228,686958,700950,714458,727641,740510,752967,764961,776448
Botswana,BWA,1779953,1804339,1829330,1855852,1884238,1914414,1946351,1979882,2014866,2051339,2089315,2128507,2168573
Central African Republic,CAF,3907612,3981665,4055036,4127910,4201758,4275800,4345386,4404230,4448525,4476153,4490416,4499653,4515392
Canada,CAN,31362000,31676000,31995000,32312000,32570505,32887928,33245773,33628571,34005274,34342780,34750545,35152370,35535348
Central Europe and the Baltics,CEB,107097577,106760768,106466116,106173766,105901322,105504531,105126686,104924372,104543801,104174038,103935318,103713726,103496179
Switzerland,CHE,7284753,7339001,7389625,7437115,7483934,7551117,7647675,7743831,7824909,7912398,7996861,8089346,8188649
Channel Islands,CHI,150901,152038,153170,154294,155411,156513,157581,158603,159581,160497,161358,162180,162969
Chile,CHL,15623635,15799542,15973778,16147064,16319792,16491687,16661942,16829442,16993354,17153357,17309746,17462982,17613798
China,CHN,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1344130000,1350695000,1357380000,1364270000
Cote d'Ivoire,CIV,17366517,17679355,17997738,18336303,18699435,19085941,19497986,19936366,20401331,20895311,21418603,21966312,22531350
Cameroon,CMR,16084886,16513822,16959081,17420795,17899562,18395389,18907008,19432541,19970495,20520447,21082383,21655715,22239904
"Congo, Dem. Rep.",COD,49835756,51390033,53034217,54751476,56543011,58417562,60373608,62409435,64523263,66713597,68978682,71316033,73722860
"Congo, Rep.",COG,3407180,3502519,3605439,3718243,3842365,3976246,4115435,4253712,4386693,4512730,4633363,4751393,4871101
Colombia,COL,41572491,42152151,42724163,43285634,43835722,44374572,44901544,45416181,45918097,46406646,46881475,47342981,47791911
Comoros,COM,569479,583211,597228,611627,626425,641620,657229,673252,689692,706569,723868,741500,759385
Cabo Verde,CPV,452106,460147,467664,474567,480795,486438,491723,496963,502384,508067,513979,520106,526437
Costa Rica,CRI,4063204,4125971,4187038,4247841,4308794,4369469,4429508,4488263,4545280,4600474,4654122,4706401,4757575
Caribbean small states,CSS,6623792,6670276,6716373,6761932,6806838,6851221,6895315,6939534,6984096,7029022,7074129,7118888,7162679
Cuba,CUB,11217998,11244885,11266941,11284253,11296233,11303687,11309754,11318602,11333051,11354651,11382146,11412167,11439767
Curacao,CUW,129205,131897,134192,137658,141239,144056,145880,146833,148703,150831,152088,153822,155909
Cayman Islands,CYM,44738,46028,47299,48622,50031,51483,52926,54279,55507,56579,57523,58371,59172
Cyprus,CYP,976966,993563,1010410,1027658,1045509,1063712,1081563,1098076,1112607,1124835,1135062,1143896,1152309
Czech Republic,CZE,10196916,10193998,10197101,10211216,10238905,10298828,10384603,10443936,10474410,10496088,10510785,10514272,10525347
Germany,DEU,82488495,82534176,82516260,82469422,82376451,82266372,82110097,81902307,81776930,80274983,80425823,80645605,80982500
Djibouti,DJI,746221,758615,770752,783254,796208,809402,822934,836840,851146,865937,881185,896688,912164
Dominica,DMA,69824,70093,70379,70627,70807,70950,71074,71229,71440,71718,72044,72400,72778
Denmark,DNK,5375931,5390574,5404523,5419432,5437272,5461438,5493621,5523095,5547683,5570572,5591572,5614932,5643475
Dominican Republic,DOM,8832285,8967760,9102998,9237566,9371338,9504353,9636520,9767758,9897985,10027095,10154950,10281296,10405844
Algeria,DZA,31995046,32403514,32831096,33288437,33777915,34300076,34860715,35465760,36117637,36819558,37565847,38338562,39113313
East Asia & Pacific (excluding high income),EAP,1849372891,1865072180,1880346866,1895491198,1910175449,1924328696,1938364036,1952308531,1966231608,1980303926,1994651365,2009173000,2023837097
Early-demographic dividend,EAR,2561812502,2605067367,2648271523,2691528375,2734859659,2778276175,2821797496,2865439651,2909410986,2953406021,2997066325,3040700765,3084236443
East Asia & Pacific,EAS,2082953520,2099545270,2115556602,2131361829,2147028911,2162102842,2177421109,2192351452,2207154891,2221934234,2237082761,2252310372,2267745316
Europe & Central Asia (excluding high income),ECA,396574307,396720391,397064999,397469492,398011334,398693705,399739094,401472949,403470694,405521953,407706585,410126644,412510951
Europe & Central Asia,ECS,865196877,867457664,870030756,872661616,875343235,878465990,881965815,885591693,889016216,891094963,894666668,898855116,903094669.5
Ecuador,ECU,13072060,13289601,13509647,13735233,13967480,14205453,14447562,14691275,14934690,15177355,15419666,15661547,15903112
"Egypt, Arab Rep.",EGY,72590118,73981942,75381899,76778149,78159048,79537253,80953881,82465022,84107606,85897561,87813257,89807433,91812566
Euro area,EMU,324125338,325885964,327682507,329380413,330922791,332645166,334274730,335360887,336151474,335425830,336167295,337296876,338429647.5
Eritrea,ERI,3614639,3738265,3858623,3969007,4066648,4153332,4232636,4310334,4390840,4474690,,,
Spain,ESP,41431558,42187645,42921895,43653155,44397319,45226803,45954106,46362946,46576897,46742697,46773055,46620045,46480882
Estonia,EST,1379350,1370720,1362550,1354775,1346810,1340680,1337090,1334515,1331475,1327439,1322696,1317997,1314545
Ethiopia,ETH,70497192,72545144,74624405,76727083,78850689,81000409,83184892,85416253,87702670,90046756,92444183,94887724,97366774
European Union,EUU,490390251,492200117,494162543,496115006,497973712,499916647,501808477,503317964,504421126,504012081,505104333,506592460,508157248.5
Fragile and conflict affected situations,FCS,359110192,368514375,378123879,387862311,397732436,407747286,417919663,428246870,438737943,449398455,460228236,471253115,482474449
Finland,FIN,5200598,5213014,5228172,5246096,5266268,5288720,5313399,5338871,5363352,5388272,5413971,5438972,5461512
Fiji,FJI,815691,816628,818354,821817,827411,834812,843340,851967,859950,867086,873596,879715,885806
France,FRA,61805267,62244886,62704895,63179351,63621381,64016227,64374989,64707044,65027507,65342775,65659789,65998573,66331958.5
Faroe Islands,FRO,47769,47974,48143,48285,48383,48448,48485,48517,48550,48608,48666,48747,48842
"Micronesia, Fed. Sts.",FSM,106983,106816,106577,106196,105684,105078,104478,103960,103616,103468,103503,103702,104015
Gabon,GAB,1294409,1328146,1364205,1403126,1444844,1489193,1536411,1586754,1640210,1697101,1756817,1817271,1875713
United Kingdom,GBR,59370479,59647577,59987905,60401206,60846820,61322463,61806995,62276270,62766365,63258918,63700300,64128226,64613160
Georgia,GEO,4357000,4301000,4245000,4190000,4136000,4082000,4030000,3978000,3926000,3875000,3825000,3776000,3727000
Ghana,GHA,19924522,20446782,20986536,21542009,22113425,22700212,23298640,23903831,24512104,25121796,25733049,26346251,26962563
Gibraltar,GIB,31544,31720,31896,32085,32296,32510,32732,32956,33189,33405,33623,33831,34038
Guinea,GIN,9137345,9309848,9490229,9679745,9881428,10096727,10323142,10556524,10794170,11035170,11281469,11536615,11805509
"Gambia, The",GMB,1311349,1354194,1398573,1444204,1491021,1539116,1588572,1639560,1692149,1746363,1802125,1859324,1917852
Guinea-Bissau,GNB,1293523,1321202,1350345,1380838,1412669,1445958,1480841,1517448,1555880,1596154,1638139,1681495,1725744
Equatorial Guinea,GNQ,666407,694611,724817,757317,792217,829327,868418,909111,951104,994290,1038593,1083746,1129424
Greece,GRC,10902022,10928070,10955141,10987314,11020362,11048473,11077841,11107017,11121341,11104899,11045011,10965211,10892413
Grenada,GRD,102100,102375,102656,102949,103259,103586,103930,104296,104677,105075,105481,105909,106360
Greenland,GRL,56609,56765,56911,56935,56774,56555,56328,56323,56905,56890,56810,56483,56295
Guatemala,GTM,12208848,12500478,12796925,13096028,13397008,13700286,14006366,14316208,14630417,14948919,15271056,15596214,15923559
Guam,GUM,157175,157714,158099,158402,158648,158855,159035,159231,159444,159678,159973,160375,160967
Guyana,GUY,751884,751857,751652,750946,749601,747869,746314,745693,746556,749100,753091,758081,763393
High income,HIC,1084822681,1091996651,1099536714,1107240754,1115521566,1124300804,1133635561,1141986984,1149513780,1155001498,1161912763,1168863948,1175992264.5
"Hong Kong SAR, China",HKG,6744100,6730800,6783500,6813200,6857100,6916300,6957800,6972800,7024200,7071600,7150100,7178900,7229500
Honduras,HND,6863157,7033821,7204153,7373430,7541406,7707972,7872658,8035021,8194778,8351600,8505646,8657785,8809216
Heavily indebted poor countries (HIPC),HPC,502710676,517352559,532385197,547744433,563415107,579434057,595849807,612731524,630127436,648053253,666488623,685401960,704745420
Croatia,HRV,4440000,4440000,4439000,4442000,4440000,4436000,4434508,4429078,4417781,4280622,4267558,4255689,4238389
Haiti,HTI,8834733,8976552,9119178,9263404,9409457,9556889,9705029,9852870,9999617,10145054,10289210,10431776,10572466
Hungary,HUN,10158608,10129552,10107146,10087065,10071370,10055780,10038188,10022650,10000023,9971727,9920362,9893082,9866468
IBRD only,IBD,4077072166,4121738813,4166120799,4210445216,4254416859,4297926889,4341646360,4385943437,4430022641,4474450394,4519551249,4564884790,4610016582
IDA & IBRD total,IBT,5216716196,5288758027,5361007541,5433668432,5506476139,5579375628,5653072235,5727963719,5803570732,5880130776,5957667513,6036112743,6114994143
IDA total,IDA,1139644030,1167019214,1194886742,1223223216,1252059280,1281448739,1311425875,1342020282,1373548091,1405680382,1438116264,1471227953,1504977561
IDA blend,IDB,377544104,385980348,394625729,403526930,412705870,422204235,432032769,442179341,452947421,463997812,474993526,486261860,497751634
Indonesia,IDN,217508059,220545214,223614649,226712730,229838202,232989141,236159276,239340478,242524123,245707511,248883232,252032263,255131116
IDA only,IDX,762099926,781038866,800261013,819696286,839353410,859244504,879393106,899840941,920600670,941682570,963122738,984966093,1007225927
Isle of Man,IMN,73870,74587,75341,76118,76914,77727,78534,79325,80072,80759,81406,82013,82590
India,IND,1089807112,1108027848,1126135777,1144118674,1161977719,1179681239,1197146906,1214270132,1230980691,1247236029,1263065852,1278562207,1293859294
Not classified,INX,,,,,,,,,,,,,
Ireland,IRL,3931947,3996521,4070262,4159914,4273591,4398942,4489544,4535375,4560155,4576794,4586897,4598294,4617225
"Iran, Islamic Rep.",IRN,67983330,68812713,69617100,70421811,71227880,72031103,72845542,73687565,74567511,75491582,76453574,77435384,78411092
Iraq,IRQ,24939299,25627626,26316609,27008426,27697912,28390433,29111417,29894652,30762701,31727053,32776571,33883145,35006080
Iceland,ISL,287523,289521,292074,296734,303782,311566,317414,318499,318041,319014,320716,323764,327386
Israel,ISR,6570000,6689700,6809000,6930100,7053700,7180100,7308800,7485600,7623600,7765800,7910500,8059500,8215700
Italy,ITA,57059007,57313203,57685327,57969484,58143979,58438310,58826731,59095365,59277417,59379449,59539717,60233948,60789140
Jamaica,JAM,2695446,2712511,2728777,2744673,2760279,2775467,2790122,2804082,2817210,2829493,2840992,2851807,2862087
Jordan,JOR,5287488,5396774,5535595,5714111,5934232,6193191,6489822,6821116,7182390,7574943,7992573,8413464,8809306
Japan,JPN,127445000,127718000,127761000,127773000,127854000,128001000,128063000,128047000,128070000,127833000,127629000,127445000,127276000
Kazakhstan,KAZ,14858948,14909018,15012985,15147029,15308084,15484192,15674000,16092701,16321581,16556600,16791425,17035275,17289224
Kenya,KEN,33214009,34130852,35074931,36048288,37052050,38085909,39148416,40237204,41350152,42486839,43646629,44826849,46024250
Kyrgyz Republic,KGZ,4990700,5043300,5104700,5162600,5218400,5268400,5318700,5383300,5447900,5514600,5607200,5719600,5835500
Cambodia,KHM,12634729,12853124,13063377,13270201,13474489,13676693,13880509,14090208,14308740,14537886,14776866,15022692,15270790
Kiribati,KIR,87343,88895,90542,92325,94260,96311,98440,100568,102652,104656,106613,108535,110458
St. Kitts and Nevis,KNA,46641,47306,47971,48611,49210,49783,50332,50886,51445,52006,52591,53169,53739
"Korea, Rep.",KOR,47644736,47892330,48082519,48184561,48438292,48683638,49054708,49307835,49554112,49936638,50199853,50428893,50746659
Kuwait,KWT,2143833,2169118,2207939,2276623,2377258,2503410,2652340,2818939,2998083,3191051,3395556,3598385,3782450
Latin America & Caribbean (excluding high income),LAC,514126613,521033040,527919692,534836570,541798268,548789887,555795034,562785589,569737872,576648286,583515410,590319145,597035363
Lao PDR,LAO,5497273,5579656,5664605,5754026,5849356,5949787,6052190,6152036,6246274,6333487,6415169,6494557,6576397
Lebanon,LBN,3522837,3701464,3863267,3986852,4057350,4086466,4111047,4183156,4337141,4588368,4916404,5276102,5603279
Liberia,LBR,3062863,3116233,3176414,3261230,3375838,3512932,3662993,3811528,3948125,4070167,4181563,4286291,4390737
Libya,LBY,5527515,5615952,5704759,5792688,5881435,5970362,6053078,6121053,6169140,6193501,6198258,6195970,6204108
St. Lucia,LCA,159763,160973,162251,163714,165407,167288,169220,171022,172580,173832,174835,175660,176421
Latin America & Caribbean,LCN,539373833,546480980,553565918,560677885,567826545,575000048,582186320,589354222,596479937,603537118,610547919,617495658,624335544
